feature_name,coefficient,abs_coefficient,importance_mean,importance_std
drift_alert_count,1.1243318045725852,1.1243318045725852,0.0,0.0
estimated_missing_rate,-1.0724634725956503,1.0724634725956503,0.0,0.0
drift_warn_count,0.9421423022052516,0.9421423022052516,0.18333333333333335,0.11666666666666667
ml_feature_alert_count,0.37118363951828176,0.37118363951828176,0.0,0.0
otp_request_count,-0.3234799775285013,0.3234799775285013,0.08333333333333334,0.08333333333333334
validation_warn_count,0.22999719758421863,0.22999719758421863,0.0,0.0
auth_attempt_count,-0.2008735223458815,0.2008735223458815,0.08333333333333334,0.08333333333333334
loan_apply_start_count,-0.1481198624431241,0.1481198624431241,0.0,0.0
new_user_ratio,-0.07708957721833014,0.07708957721833014,0.0,0.0
loan_view_count,-0.06036538261364565,0.06036538261364565,0.0,0.0
avg_session_duration_sec,-0.05903309303306965,0.05903309303306965,0.0,0.0
ml_feature_warn_count,0.05612644531008008,0.05612644531008008,0.0,0.0
raw_event_count,-0.052102494612915225,0.052102494612915225,0.0,0.0
card_apply_start_count,-0.046107011954803906,0.046107011954803906,0.0,0.0
page_view_count,-0.034666965526290276,0.034666965526290276,0.0,0.0
collector_event_count,-0.03381323883836275,0.03381323883836275,0.0,0.0
daily_active_users,0.006436244337299084,0.006436244337299084,0.0,0.0
auth_success_count,0.0,0.0,0.0,0.0
auth_fail_count,0.0,0.0,0.0,0.0
risk_login_count,0.0,0.0,0.0,0.0
auth_fail_rate,0.0,0.0,0.0,0.0
auth_success_rate,0.0,0.0,0.0,0.0
loan_apply_submit_count,0.0,0.0,0.0,0.0
card_apply_submit_count,0.0,0.0,0.0,0.0
card_apply_submit_rate,0.0,0.0,0.0,0.0
validation_fail_count,0.0,0.0,0.0,0.0
total_signal_count,0.0,0.0,0.0,0.0
