feature_name,coefficient,abs_coefficient,importance_mean,importance_std,importance_rank
scenario_active_flag,7.401486830834377e-17,1.0764626306220855,1.0764626306220855,0.38387058988894346,1
new_user_ratio,-1.8503717077085943e-16,0.6678345830188306,0.6678345830188306,0.3172045055828931,2
avg_session_duration_sec,5.551115123125783e-17,0.48183768162084056,0.48183768162084056,0.1787994377595949,3
loan_apply_start_count,2.220446049250313e-16,0.4686683752305237,0.4686683752305237,0.2372075749149004,4
drift_alert_count,-4.440892098500626e-16,0.44959823903681156,0.44959823903681156,0.2675713381137723,5
ml_feature_warn_count,-2.9605947323337506e-16,0.37664360830515836,0.37664360830515836,0.15219064981793898,6
loan_apply_submit_count,1.1102230246251565e-16,0.34230837573360146,0.34230837573360146,0.15393689355419027,7
drift_warn_count,0.0,0.33389109586929905,0.33389109586929905,0.14356969416916196,8
estimated_missing_rate,5.551115123125783e-17,0.28528915903779856,0.28528915903779856,0.11547915010992772,9
ml_feature_alert_count,-3.700743415417188e-17,0.2559998612664931,0.2559998612664931,0.13040180878557436,10
auth_attempt_count,2.0354088784794536e-16,0.24078620130883524,0.24078620130883524,0.14320480829869603,11
loan_view_count,2.220446049250313e-16,0.20823740121517867,0.20823740121517867,0.08387888266929153,12
auth_success_count,1.295260195396016e-16,0.18744281204599952,0.18744281204599952,0.08132388297729497,13
validation_warn_count,6.47630097698008e-17,0.17430800473021324,0.17430800473021324,0.09939270714216597,14
card_apply_submit_count,7.401486830834377e-17,0.12892748044466998,0.12892748044466998,0.061532821385143086,15
daily_active_users,2.4054832200211723e-16,0.12326983159669391,0.12326983159669391,0.04406938347882677,16
card_apply_start_count,2.0354088784794536e-16,0.11841046714249957,0.11841046714249957,0.04186735625780729,17
card_apply_submit_rate,1.5728159515523052e-16,0.11389912849005586,0.11389912849005586,0.07127396754000945,18
otp_request_count,5.551115123125783e-17,0.10005858871125782,0.10005858871125782,0.06612506577083233,19
validation_fail_count,-4.625929269271486e-17,0.09233349620895985,0.09233349620895985,0.03265634224651367,20
auth_success_rate,1.3877787807814457e-17,0.06935161593343941,0.06935161593343941,0.039564950952343844,21
page_view_count,9.251858538542972e-17,0.05476793439443848,0.05476793439443848,0.020193608344244603,22
raw_event_count,5.92697187625409e-17,0.028507731528134305,0.028507731528134305,0.015270698410591347,23
collector_event_count,2.625214860311568e-16,0.026844676727899332,0.026844676727899332,0.015600461661540277,24
risk_login_count,0.0,0.0,0.0,0.0,25
auth_fail_count,0.0,0.0,0.0,0.0,26
auth_fail_rate,0.0,0.0,0.0,0.0,27
